time,id,x1,y1,pass
0.0,1,80,771,0
0.0,2,183,257,0
0.0,3,393,328,0
0.0,4,75,306,0
0.0,5,167,511,0
0.0,6,158,309,0
0.0,7,230,348,0
0.0,8,314,350,0
0.0,9,148,236,0
0.0,10,293,465,0
0.0,11,318,292,0
0.0,12,405,448,0
0.0,13,222,409,0
0.0,14,220,212,0
0.0,15,37,478,0
0.0,16,204,190,0
0.0,17,334,227,0
0.0,18,37,479,0
0.0,19,518,246,0
0.0,20,471,263,0
0.0,21,261,309,0
0.0,22,254,905,0
0.0,23,284,232,0
0.03333333333333333,1,78,777,0
0.03333333333333333,2,182,258,0
0.03333333333333333,3,394,328,0
0.03333333333333333,4,73,306,0
0.03333333333333333,5,166,512,0
0.03333333333333333,6,157,310,0
0.03333333333333333,7,230,349,0
0.03333333333333333,8,314,351,0
0.03333333333333333,9,147,236,0
0.03333333333333333,10,293,465,0
0.03333333333333333,11,318,292,0
0.03333333333333333,12,405,450,0
0.03333333333333333,13,221,409,0
0.03333333333333333,14,220,212,0
0.03333333333333333,15,37,480,0
0.03333333333333333,16,204,190,0
0.03333333333333333,17,334,227,0
0.03333333333333333,18,37,481,0
0.03333333333333333,21,261,308,0
0.03333333333333333,22,254,908,0
0.03333333333333333,23,284,232,0
0.06666666666666667,1,76,782,0
0.06666666666666667,2,181,259,0
0.06666666666666667,3,394,329,0
0.06666666666666667,4,72,307,0
0.06666666666666667,5,165,513,0
0.06666666666666667,6,157,311,0
0.06666666666666667,7,230,349,0
0.06666666666666667,8,314,351,0
0.06666666666666667,9,146,237,0
0.06666666666666667,10,293,467,0
0.06666666666666667,11,318,292,0
0.06666666666666667,12,405,451,0
0.06666666666666667,13,221,409,0
0.06666666666666667,14,220,212,0
0.06666666666666667,15,36,482,0
0.06666666666666667,16,203,190,0
0.06666666666666667,17,334,227,0
0.06666666666666667,18,36,483,0
0.06666666666666667,21,260,308,0
0.06666666666666667,20,469,258,0
0.1,1,75,788,0
0.1,2,180,259,0
0.1,3,394,329,0
0.1,4,70,307,0
0.1,5,165,515,0
0.1,6,156,312,0
0.1,7,230,350,0
0.1,8,313,351,0
0.1,9,144,237,0
0.1,10,293,468,0
0.1,11,318,292,0
0.1,12,406,453,0
0.1,13,221,410,0
0.1,14,219,212,0
0.1,15,35,485,0
0.1,16,203,190,0
0.1,17,334,227,0
0.1,18,35,485,0
0.1,21,260,308,0
0.1,20,469,257,0
0.13333333333333333,1,73,795,0
0.13333333333333333,2,180,259,0
0.13333333333333333,3,394,330,0
0.13333333333333333,4,69,308,0
0.13333333333333333,5,164,516,0
0.13333333333333333,6,154,313,0
0.13333333333333333,7,230,350,0
0.13333333333333333,8,313,352,0
0.13333333333333333,9,144,237,0
0.13333333333333333,10,292,469,0
0.13333333333333333,11,317,292,0
0.13333333333333333,12,406,454,0
0.13333333333333333,13,220,411,0
0.13333333333333333,14,219,212,0
0.13333333333333333,15,34,488,0
0.13333333333333333,16,203,190,0
0.13333333333333333,17,334,227,0
0.13333333333333333,18,34,488,0
0.13333333333333333,21,260,308,0
0.13333333333333333,20,469,254,0
0.13333333333333333,28,293,469,0
0.16666666666666666,1,73,800,0
0.16666666666666666,2,179,259,0
0.16666666666666666,3,394,330,0
0.16666666666666666,4,69,308,0
0.16666666666666666,5,164,517,0
0.16666666666666666,6,153,315,0
0.16666666666666666,7,229,351,0
0.16666666666666666,8,313,352,0
0.16666666666666666,9,143,237,0
0.16666666666666666,10,292,470,0
0.16666666666666666,11,317,292,0
0.16666666666666666,12,406,455,0
0.16666666666666666,13,220,411,0
0.16666666666666666,14,219,212,0
0.16666666666666666,15,34,490,0
0.16666666666666666,16,203,190,0
0.16666666666666666,18,34,490,0
0.16666666666666666,21,260,308,0
0.16666666666666666,20,469,251,0
0.16666666666666666,28,292,469,0
